year,rank,title,artist,lyrics_raw,lyrics_url,lyrics_clean,lines,tokens,vader,fk_grade,ttr,repetition_ratio,compressibility,is_top5
1959,92,Kissin' Time,Bobby Rydell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,93,My Wish Came True,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,94,Morgen,Ivo Robić,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,95,Baby Talk,Jan and Dean,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,96,Take a Message to Mary,The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,97,The Battle Hymn of the Republic,Mormon Tabernacle Choir,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,98,Bongo Rock,Preston Epps,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,99,In the Mood,Ernie Fields,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,100,Seven Little Girls Sitting in the Back Seat,Paul Evans,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,6,I'm Sorry,Brenda Lee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,7,It's Now or Never,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,8,Handy Man,Jimmy Jones,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,9,Stuck on You,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,10,The Twist,Chubby Checker,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,11,Everybody's Somebody's Fool,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,12,Wild One,Bobby Rydell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,13,Greenfields,The Brothers Four,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,14,What in the World's Come Over You,Jack Scott,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,15,El Paso,Marty Robbins,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,16,Alley Oop,The Hollywood Argyles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,17,My Heart Has a Mind of Its Own,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,18,Sweet Nothin's,Brenda Lee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,19,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,20,Only the Lonely,Roy Orbison,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,21,Where or When,Dion and the Belmonts,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,22,Sixteen Reasons,Connie Stevens,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,23,Puppy Love,Paul Anka,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,24,Why,Frankie Avalon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,25,"Walk, Don't Run",The Ventures,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,26,Save the Last Dance for Me,The Drifters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,28,Sink the Bismarck,Johnny Horton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,29,Chain Gang,Sam Cooke,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,30,Let It Be Me,The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,31,Good Timin,Jimmy Jones,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
